Sample,Species,Host,Country
SRX2527172,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527173,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527175,CERVINE-NZ,NON-RESERVOIR,New Zealand
SRX2527179,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527182,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527184,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527185,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527187,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527188,FERRET-NZ,NON-RESERVOIR,New Zealand
SRX2527190,POSSUM-NZ,RESERVOIR,New Zealand
SRX2527192,BOVINE-NZ,RESERVOIR,New Zealand
SRX2527193,CERVINE-NZ,NON-RESERVOIR,New Zealand
SRX2527194,POSSUM-NZ,RESERVOIR,New Zealand
SRX5400334,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400333,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400332,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400331,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400330,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400329,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400328,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400327,BADGER-UK,RESERVOIR,United Kingdom
SRX5400326,BADGER-UK,RESERVOIR,United Kingdom
SRX5400325,BADGER-UK,RESERVOIR,United Kingdom
SRX5400324,BADGER-UK,RESERVOIR,United Kingdom
SRX5400323,BADGER-UK,RESERVOIR,United Kingdom
SRX5400322,BADGER-UK,RESERVOIR,United Kingdom
SRX5400321,BADGER-UK,RESERVOIR,United Kingdom
SRX5400320,BADGER-UK,RESERVOIR,United Kingdom
SRX5400319,BADGER-UK,RESERVOIR,United Kingdom
SRX5400318,BADGER-UK,RESERVOIR,United Kingdom
SRX5400317,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400316,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400315,BADGER-UK,RESERVOIR,United Kingdom
SRX5400314,BADGER-UK,RESERVOIR,United Kingdom
SRX5400313,BADGER-UK,RESERVOIR,United Kingdom
SRX5400312,BADGER-UK,RESERVOIR,United Kingdom
SRX5400311,BADGER-UK,RESERVOIR,United Kingdom
SRX5400310,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400309,BADGER-UK,RESERVOIR,United Kingdom
SRX5400308,BADGER-UK,RESERVOIR,United Kingdom
SRX5400307,BADGER-UK,RESERVOIR,United Kingdom
SRX5400306,BADGER-UK,RESERVOIR,United Kingdom
SRX5400305,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400304,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400303,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400302,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400301,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400300,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400299,BADGER-UK,RESERVOIR,United Kingdom
SRX5400298,BADGER-UK,RESERVOIR,United Kingdom
SRX5400297,BADGER-UK,RESERVOIR,United Kingdom
SRX5400296,BADGER-UK,RESERVOIR,United Kingdom
SRX5400295,BADGER-UK,RESERVOIR,United Kingdom
SRX5400294,BADGER-UK,RESERVOIR,United Kingdom
SRX5400293,BADGER-UK,RESERVOIR,United Kingdom
SRX5400292,BADGER-UK,RESERVOIR,United Kingdom
SRX5400291,BADGER-UK,RESERVOIR,United Kingdom
SRX5400290,BADGER-UK,RESERVOIR,United Kingdom
SRX5400289,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400288,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400287,BADGER-UK,RESERVOIR,United Kingdom
SRX5400286,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400285,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400284,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400283,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400282,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400281,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400280,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400279,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400278,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400277,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400276,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400275,BOVINE-UK,RESERVOIR,United Kingdom
SRX5400274,BADGER-UK,RESERVOIR,United Kingdom
SRX5400273,BADGER-UK,RESERVOIR,United Kingdom
SRX5400272,BADGER-UK,RESERVOIR,United Kingdom
SRX5400271,BADGER-UK,RESERVOIR,United Kingdom
SRX5400270,BADGER-UK,RESERVOIR,United Kingdom
SRX5400269,BADGER-UK,RESERVOIR,United Kingdom
SRX5400268,BADGER-UK,RESERVOIR,United Kingdom
SRX5400267,BADGER-UK,RESERVOIR,United Kingdom
SRX5400266,BADGER-UK,RESERVOIR,United Kingdom
SRX5400265,BADGER-UK,RESERVOIR,United Kingdom
SRX5400264,BADGER-UK,RESERVOIR,United Kingdom
SRX5400263,BADGER-UK,RESERVOIR,United Kingdom
SRX5400262,BADGER-UK,RESERVOIR,United Kingdom
SRX5400261,BOVINE-UK,RESERVOIR,United Kingdom
