Sample,Species,Host,Country,Domesticated,
SRX2527030,STOAT-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527031,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527032,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527033,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527034,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527035,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527036,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527037,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527038,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527039,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527040,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527041,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527042,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527043,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527044,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527045,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527046,PORCINE-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,DOMESTICATE
SRX2527047,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527048,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527049,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527050,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527051,BOVINE-NZ,RESERVOIR,New Zealand,CATTLE,DOMESTICATE
SRX2527052,FERRET-NZ,NON-RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
SRX2527053,POSSUM-NZ,RESERVOIR,New Zealand,WILDLIFE,WILDLIFE
